Airline,total_flights,delay_rate,avg_delay,avg_weather_delay,avg_carrier_delay
9E,195072,0.14858616305774278,8.239583333333334,0.8519520997375328,3.901641445209974
AA,966116,0.2553502891992266,20.580961292432793,1.2154710200431418,7.3713529224233945
AS,240323,0.20066743507695892,7.560237680122169,0.4367413855519447,3.2243439038294297
B6,235195,0.25720784880630965,17.301554029634985,0.49557601139480006,7.904662088904951
DL,997846,0.17114364340790061,10.113093603622202,0.5654690202696608,5.896932993668361
F9,203482,0.27649620113818424,18.87152671980814,0.4541974228678704,6.000604476071594
G4,114882,0.21203495760867672,13.988213993488971,2.016338503856131,6.715847565327902
HA,77633,0.13285587314672884,5.405510543196836,0.1942472917444901,4.188373500959644
MQ,275295,0.18693764870411742,10.069481828583882,1.4881200167093482,3.083702936849561
NK,255633,0.2494357144813072,14.908251282111465,0.44362817007193905,4.460429600247229
OH,223673,0.19729694688227903,13.817452262901647,1.5118185923200387,5.204410009254581
OO,733886,0.1709965853007143,11.207325115889933,2.305919447979659,7.755237189427241
UA,745818,0.18959987557286093,11.857229243595622,0.7773008964653575,4.246558811935351
WN,1404597,0.23340929818303754,11.713421002607866,0.26954564191721897,3.0910289570602814
YX,294795,0.11643684594379144,3.856317101714751,0.7293576892416764,2.5230244746349157
