Origin,Dest,total_flights,delay_rate,avg_delay,avg_weather_delay
ABE,ATL,1001,0.14385614385614387,9.43956043956044,0.5084915084915085
ABE,BNA,103,0.18446601941747573,1.4951456310679612,0.0
ABE,CLT,1148,0.16202090592334495,15.602787456445993,1.0601045296167246
ABE,DEN,84,0.15476190476190477,6.5476190476190474,0.20238095238095238
ABE,FLL,81,0.1728395061728395,5.888888888888889,0.06172839506172839
ABE,MCO,65,0.23076923076923078,9.2,4.092307692307692
ABE,MLB,102,0.14705882352941177,1.1176470588235294,0.5784313725490197
ABE,MYR,185,0.07567567567567568,-3.2972972972972974,1.345945945945946
ABE,ORD,299,0.20066889632107024,30.585284280936456,0.3311036789297659
ABE,PGD,191,0.20418848167539266,14.848167539267015,4.659685863874346
ABE,PIE,254,0.11023622047244094,6.106299212598425,0.8779527559055118
ABE,SFB,633,0.1848341232227488,13.516587677725118,2.5039494470774093
ABE,SRQ,101,0.1782178217821782,7.366336633663367,0.0
ABI,DFW,1741,0.15680643308443423,7.261344055140723,2.080413555427915
ABQ,ATL,942,0.10509554140127389,3.2770700636942673,0.058386411889596604
ABQ,AUS,727,0.1843191196698762,9.015130674002751,0.20495185694635487
ABQ,BUR,328,0.2652439024390244,14.609756097560975,0.01524390243902439
ABQ,BWI,392,0.288265306122449,18.058673469387756,0.05357142857142857
ABQ,DAL,1676,0.191527446300716,10.316825775656325,0.2386634844868735
ABQ,DEN,2789,0.16887773395482253,7.219433488705629,0.2950878451057727
ABQ,DFW,2385,0.2180293501048218,21.451991614255764,2.39958071278826
ABQ,HOU,946,0.1649048625792812,8.046511627906977,0.09830866807610994
ABQ,IAH,494,0.10121457489878542,6.178137651821863,0.5404858299595142
ABQ,JFK,254,0.4566929133858268,48.07086614173228,0.05511811023622047
ABQ,LAS,2103,0.20779838326200667,10.210175939134569,0.291963861150737
ABQ,LAX,2297,0.12233347845015237,3.975620374401393,0.42011319111885065
ABQ,LGB,292,0.22602739726027396,11.273972602739725,0.0
ABQ,MCI,343,0.20408163265306123,7.029154518950437,0.037900874635568516
ABQ,MCO,73,0.3835616438356164,22.246575342465754,0.5753424657534246
ABQ,MDW,503,0.13518886679920478,6.89662027833002,0.1272365805168986
ABQ,MSP,242,0.04132231404958678,-0.39669421487603307,0.30165289256198347
ABQ,OAK,346,0.06069364161849711,1.3034682080924855,0.0
ABQ,ORD,820,0.16097560975609757,8.61951219512195,0.901219512195122
ABQ,PDX,8,0.5,16.25,0.0
ABQ,PHX,3234,0.17068645640074212,7.871057513914657,0.21706864564007422
ABQ,SAN,597,0.24790619765494137,14.21105527638191,0.22110552763819097
ABQ,SAT,18,0.3333333333333333,16.88888888888889,0.0
ABQ,SEA,410,0.22195121951219512,8.273170731707317,0.8804878048780488
ABQ,SFO,571,0.16987740805604204,8.60245183887916,0.19089316987740806
ABQ,SLC,1049,0.0886558627264061,0.052430886558627265,1.0896091515729267
ABR,MSP,722,0.16897506925207756,19.29501385041551,3.7354570637119116
ABY,ATL,757,0.190224570673712,17.26552179656539,4.2100396301188905
ACK,BOS,202,0.20297029702970298,9.990099009900991,0.0
ACK,CLT,11,0.18181818181818182,4.363636363636363,0.0
ACK,DCA,291,0.20618556701030927,10.670103092783505,0.0
ACK,HPN,221,0.15384615384615385,6.9411764705882355,0.0
ACK,JFK,332,0.21987951807228914,19.132530120481928,0.7379518072289156
ACK,LGA,420,0.17857142857142858,11.123809523809523,0.0
ACK,ORD,37,0.40540540540540543,33.13513513513514,0.0
ACK,PHL,67,0.22388059701492538,28.044776119402986,0.0
ACT,DFW,1060,0.21226415094339623,15.510377358490565,3.408490566037736
ACV,DEN,311,0.18006430868167203,19.54662379421222,4.231511254019293
ACV,LAX,362,0.1464088397790055,15.707182320441989,1.8121546961325967
ACV,SFO,1028,0.22081712062256809,21.41147859922179,6.004863813229572
ACY,FLL,573,0.25654450261780104,12.30715532286213,0.27225130890052357
ACY,MCO,918,0.1644880174291939,8.643790849673202,0.24836601307189543
ACY,MYR,306,0.22875816993464052,9.290849673202615,0.3137254901960784
ACY,PBI,356,0.1601123595505618,6.432584269662922,0.5617977528089888
ACY,RSW,449,0.15812917594654788,8.189309576837417,0.16703786191536749
ACY,TPA,381,0.1732283464566929,7.595800524934384,0.4015748031496063
ADK,ANC,96,0.17708333333333334,-6.0625,0.0
ADQ,ANC,799,0.1476846057571965,2.6595744680851063,0.8585732165206508
AEX,ATL,868,0.1382488479262673,14.567972350230415,2.5910138248847927
AEX,DFW,1063,0.19190968955785512,18.420507996237063,7.105362182502351
AGS,ATL,2133,0.1828410689170183,15.86122831692452,2.7191748710736054
AGS,AUS,5,0.8,41.8,0.0
AGS,BOS,13,0.38461538461538464,4.461538461538462,0.6153846153846154
AGS,CLT,992,0.22782258064516128,19.47983870967742,2.840725806451613
AGS,DCA,348,0.15229885057471265,21.807471264367816,3.6867816091954024
