DepHour,delay_rate,avg_delay,avg_temp,avg_wind,avg_precip
0,0.24731449347215337,15.41703850603206,14.637696248553958,10.562568170550321,0.047818542389687656
1,0.21994501374656336,14.644588852786804,10.54728817795551,11.163309172706823,0.06970757310672332
2,0.2501654533421575,10.976174718729318,14.477829252150894,12.311714096624751,0.0984778292521509
3,0.21983161833489243,9.840972871842844,24.631057062675396,13.373620205799812,0.1480823199251637
4,0.2224334600760456,16.35551330798479,24.685171102661595,13.92148288973384,0.10874524714828898
5,0.0780588256179023,5.120532159323186,12.290115591984135,10.29482549617314,0.09311367982186966
6,0.07653898207767706,3.946134601976787,12.3195418939425,10.10018927121355,0.09582865110937949
7,0.0977976427670579,4.850643535274278,12.817691160581873,10.18521984545294,0.10673380686136365
8,0.11934247150884933,5.75346883041857,13.620717819442257,10.365237960191168,0.12433149519458012
9,0.14136396458219175,7.148976540055001,14.92352575165541,10.520815900117274,0.14235004020095354
10,0.16398749437593013,8.611208915448598,16.600121364543554,11.149658402648793,0.13373749726006853
11,0.17853230353173058,9.830419636513648,17.98792886118305,11.668853390782205,0.11732771067769807
12,0.19524183701841127,11.36213295293819,19.482703062100313,12.577897752686743,0.12247361613133302
13,0.2149177618559891,12.821457955044266,20.10585369597912,13.10838116666147,0.11832602141046153
14,0.2363963360031217,14.48456658879089,21.168722453737285,13.779991095146856,0.1312677909460656
15,0.2540876520247528,15.793316146661812,20.983509023002547,14.062696030277795,0.13791954842602333
16,0.26858830643054254,17.228262735798587,21.404214701439987,14.20584728239097,0.13825255860594857
17,0.27251428676430056,17.921588173682952,20.254825343157975,13.77341490417302,0.1348231840649749
18,0.2953476215368531,19.72491965522657,19.64849097161503,12.816023713135756,0.1331196275659343
19,0.31004084124544745,20.646531125660513,18.67610208206143,12.13905575672091,0.1107058272457422
20,0.32020799989715704,21.224088393528607,17.556410651960125,11.39522647949247,0.11712785308882419
21,0.30460647927171114,20.313818569978043,16.641423599961815,11.142009823915854,0.14734702201702699
22,0.29214146107607775,19.744440756720877,16.78248392767145,10.985167975808533,0.12030522058733145
23,0.24482950397997844,15.355782265633147,15.431478327366262,10.458524801001078,0.055337342278146615
