weathercode,total_flights,delay_rate,avg_delay,avg_weather_delay
0.0,2735459,0.18317145312724484,9.956332008631824,0.3977694419839595
1.0,740208,0.21325897585543524,12.80457384951257,0.6599820590969024
2.0,491336,0.2099561196411417,12.507469430288031,0.7225055766318772
3.0,2020048,0.19792004942456812,11.99235364704205,0.8924114674502784
51.0,566334,0.25716450010064734,18.029261884329742,1.6325401618126405
53.0,133026,0.2742020356922707,20.15696179694195,2.0227775021424383
55.0,42445,0.28700671457179877,21.48135233832018,2.5377783013311346
61.0,84708,0.30491807149265715,23.723568021910562,2.878948859611843
63.0,74903,0.35811649733655526,30.57792077753895,4.406392267332417
65.0,12452,0.4397687118535175,46.735303565692256,9.496145197558626
71.0,34380,0.2937463641652123,24.632955206515415,4.601832460732984
73.0,23826,0.3332074204650382,32.80504490892302,9.06421556283052
75.0,5121,0.428041398164421,52.44542081624682,17.618043350908025
