id,ident,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,local_code
6519,URSS,AER,Sochi International Airport,43.449902,39.9566,EU,RU,RU-KDA,Sochi,
6520,URWA,ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,46.282843,48.010511,AS,RU,RU-AST,Astrakhan,
6521,URWI,ESL,Elista Airport,46.37390137,44.33089828,EU,RU,RU-KL,Elista,
6522,URWW,VOG,Volgograd International Airport,48.78134,44.339194,AS,RU,RU-VGG,Volgograd,
26370,USCC,CEK,Kurchatov Chelyabinsk International Airport,55.303141,61.504927,AS,RU,RU-CHE,Chelyabinsk,
26371,USCM,MQF,Magnitogorsk International Airport,53.391991,58.755235,AS,RU,RU-BA,Magnitogorsk,
327554,USDA,SBT,Sabetta International Airport,71.219167,72.052222,AS,RU,RU-YAN,Sabetta,
343470,USDB,BVJ,Bovanenkovo Airport,70.315278,68.333611,AS,RU,RU-YAN,Bovanenkovo,
26372,USDD,SLY,Salekhard Airport,66.59079742,66.61100006,AS,RU,RU-YAN,Salekhard,
43693,USHB,EZV,Berezovo Airport,63.92100143,65.03050232,AS,RU,RU-KHM,,
26373,USHH,HMA,Khanty Mansiysk Airport,61.0285,69.086098,AS,RU,RU-KHM,Khanty-Mansiysk,
42944,USHN,NYA,Nyagan Airport,62.110001,65.614998,EU,RU,RU-KHM,Nyagan,
43692,USHQ,EYK,Beloyarskiy Airport,63.686901,66.698601,EU,RU,RU-KHM,,
32554,USHS,OVS,Sovetskiy Airport,61.32662201,63.60191345,AS,RU,RU-KHM,Sovetskiy,
32548,USHU,URJ,Uray Airport,60.103298,64.826698,AS,RU,RU-KHM,Uray,
31670,USII,IJK,Izhevsk Airport,56.834524,53.462172,AS,RU,RU-UD,Izhevsk,
42945,USKK,KVX,Pobedilovo Airport,58.503883,49.347831,EU,RU,RU-KIR,Kirov,
35175,USMM,NYM,Nadym Airport,65.48090363,72.69889832,AS,RU,RU-YAN,Nadym,
32057,USMU,NUX,Novy Urengoy Airport,66.06939697,76.52030182,AS,RU,RU-YAN,Novy Urengoy,
26374,USNN,NJC,Nizhnevartovsk Airport,60.949299,76.483597,AS,RU,RU-KHM,Nizhnevartovsk,
26375,USPP,PEE,Perm International Airport,57.914501,56.021198,AS,RU,RU-PER,Perm,
26376,USRK,KGP,Kogalym International Airport,62.19039917,74.53379822,AS,RU,RU-KHM,Kogalym,
42943,USRN,NFG,Nefteyugansk Airport,61.108299,72.650002,AS,RU,RU-KHM,Nefteyugansk,
35176,USRO,NOJ,Noyabrsk Airport,63.18330002,75.26999664,AS,RU,RU-YAN,Noyabrsk,
26377,USRR,SGC,Surgut International Airport,61.340501,73.405782,AS,RU,RU-KHM,Surgut,
26378,USSS,SVX,Koltsovo Airport,56.74309921,60.80270004,AS,RU,RU-SVE,Yekaterinburg,
342469,USTJ,RMZ,Tobolsk Remezov Airport,58.059712,68.347997,AS,RU,RU-TYU,Tobolsk,
26379,USTR,TJM,Roshchino International Airport,57.178984,65.327696,AS,RU,RU-TYU,Tyumen,
31773,USUU,KRO,Kurgan Airport,55.4753,65.415604,AS,RU,RU-KGN,Kurgan,
26380,UTAA,ASB,Ashgabat International Airport,37.986801,58.361,AS,TM,TM-S,Ashgabat,
26381,UTAK,KRW,Turkmenbaşy International Airport,40.062833,53.005085,AS,TM,TM-B,Turkmenbaşy,
26382,UTAM,MYP,Mary International Airport,37.62353,61.895668,AS,TM,TM-M,Mary,
26383,UTAT,TAZ,Dashoguz International Airport,41.759853,59.836149,AS,TM,TM-D,Daşoguz,
26384,UTAV,CRZ,Türkmenabat International Airport,38.930662,63.563982,AS,TM,TM-L,Türkmenabat,
26385,UTDD,DYU,Dushanbe International Airport,38.543746,68.822977,AS,TJ,TJ-DU,Dushanbe,
6377,UTDK,TJU,Kulob International Airport,37.988098,69.805,AS,TJ,TJ-KT,Kulob,
26386,UTDL,LBD,Khujand International Airport,40.215401,69.694702,AS,TJ,TJ-SU,Khujand,
32556,UTDT,KQT,Bokhtar International Airport,37.866315,68.864475,AS,TJ,TJ-KT,Bokhtar,
32038,UTFN,NMA,Namangan International Airport,40.984622,71.5578,AS,UZ,UZ-NG,Namangan,
30672,UTKA,AZN,Andijan International Airport,40.727699,72.293999,AS,UZ,UZ-AN,Andijan,
31118,UTKF,FEG,Fergana International Airport,40.358799,71.745003,AS,UZ,UZ-FA,Fergana,
32013,UTNN,NCU,Nukus International Airport,42.4884,59.623299,AS,UZ,UZ-QR,Nukus,
26387,UTNU,UGC,Urgench International Airport,41.58274,60.64338,AS,UZ,UZ-XO,Urgench,
32561,UTSA,NVI,Navoi International Airport,40.117599,65.172658,AS,UZ,UZ-NW,Navoi,
26388,UTSB,BHK,Bukhara International Airport,39.775319,64.482279,AS,UZ,UZ-BU,Bukhara,
26390,UTSS,SKD,Samarkand International Airport,39.701842,66.981467,AS,UZ,UZ-SA,Samarkand,
26391,UTST,TMJ,Termez Airport,37.287261,67.311869,AS,UZ,UZ-SU,Termez,
41687,UTTP,TVT,Tashkent-Khumo International Airport,41.312889,69.395535,AS,UZ,UZ-TO,Tashkent,
26392,UTTT,TAS,Tashkent International Airport,41.2579,69.281197,AS,UZ,UZ-TO,Tashkent,
598248,UTTZ,OMN,Zomin Airport,40.01402,68.41103,AS,UZ,UZ-JI,Zomin,
31761,UUBA,KMW,Kostroma Sokerkino Airport,57.796902,41.019402,EU,RU,RU-KOS,Kostroma,
42934,UUBC,KLF,Grabtsevo Airport,54.54999924,36.3666687,EU,RU,RU-KLU,Kaluga,
31690,UUBI,IWA,Ivanovo South Airport,56.93939972,40.94079971,EU,RU,RU-IVA,Ivanovo,
32241,UUBK,RYB,Staroselye Airport,58.104198,38.929401,EU,RU,RU-YAR,Rybinsk,
26393,UUBP,BZK,Bryansk International Airport,53.214403,34.175965,EU,RU,RU-BRY,Bryansk,
42967,UUBW,ZIA,Zhukovsky International Airport,55.553299,38.150002,EU,RU,RU-MOS,Moscow,
26394,UUDD,DME,Domodedovo International Airport,55.408798,37.9063,EU,RU,RU-MOS,Moscow,
26395,UUDL,IAR,Golden Ring Yaroslavl International Airport,57.560699,40.157398,EU,RU,RU-YAR,Tunoshna,
26396,UUEE,SVO,Sheremetyevo International Airport,55.976858,37.41121,EU,RU,RU-MOS,Moscow,
26397,UUEM,KLD,Migalovo Air Base,56.8246994,35.75770187,EU,RU,RU-TVE,Tver,
34969,UUMU,CKL,Chkalovskiy Air Base,55.8783,38.061699,EU,RU,RU-MOS,Moscow,
26398,UUOB,EGO,Belgorod International Airport,50.64379883,36.59009933,EU,RU,RU-BEL,Belgorod,
26399,UUOK,URS,Kursk East Airport,51.75059891,36.29560089,EU,RU,RU-KRS,Kursk,
31846,UUOL,LPK,Lipetsk Airport,52.70280075,39.53779984,EU,RU,RU-LIP,Lipetsk,
26400,UUOO,VOZ,Voronezh International Airport,51.813683,39.231711,AS,RU,RU-VOR,Voronezh,
32427,UUOT,TBW,Donskoye Airport,52.806099,41.4828,EU,RU,RU-TAM,Tambov,
26401,UUWW,VKO,Vnukovo International Airport,55.591499,37.261501,EU,RU,RU-MOW,Moscow,
32506,UUYH,UCT,Ukhta Airport,63.566898,53.804699,AS,RU,RU-KO,Ukhta,
42946,UUYI,INA,Inta Airport,66.053372,60.105786,EU,RU,RU-KO,Inta,
32154,UUYP,PEX,Pechora Airport,65.121101,57.130798,EU,RU,RU-KO,Pechora,
32555,UUYS,USK,Usinsk Airport,66.0047,57.367199,AS,RU,RU-KO,Usinsk,
32581,UUYW,VKT,Vorkuta Airport,67.488602,63.993099,AS,RU,RU-KO,Vorkuta,
42949,UUYX,UTS,Ust-Tsylma Airport,65.437294,52.200336,AS,RU,RU-KO,Ust-Tsylma,
26402,UUYY,SCW,Syktyvkar Airport,61.64699936,50.8451004,EU,RU,RU-KO,Syktyvkar,
26403,UWGG,GOJ,Nizhny Novgorod / Strigino International Airport,56.227351,43.785152,EU,RU,RU-NIZ,Nizhny Novgorod,
35174,UWKB,UUA,Bugulma Airport,54.641184,52.800229,AS,RU,RU-TA,Bugulma,
26404,UWKD,KZN,Kazan International Airport,55.606201,49.278702,AS,RU,RU-TA,Kazan,
26405,UWKE,NBC,Begishevo Airport,55.564701,52.092499,AS,RU,RU-TA,Nizhnekamsk,
31707,UWKJ,JOK,Yoshkar-Ola Airport,56.7006,47.904701,AS,RU,RU-ME,Yoshkar-Ola,
26406,UWKS,CSY,Cheboksary Airport,56.090302,47.347301,AS,RU,RU-CU,Cheboksary,
35104,UWLL,ULV,Ulyanovsk Baratayevka Airport,54.27016,48.225569,EU,RU,RU-ULY,Ulyanovsk,
26407,UWLW,ULY,Ulyanovsk Vostochny Airport,54.401001,48.8027,AS,RU,RU-ULY,Cherdakly,
26408,UWOO,REN,Orenburg Central Airport,51.792668,55.457229,AS,RU,RU-ORE,Orenburg,
26409,UWOR,OSW,Orsk Airport,51.072498,58.5956,AS,RU,RU-ORE,Orsk,
32155,UWPP,PEZ,Penza Airport,53.11059952,45.02109909,EU,RU,RU-PNZ,Penza,
42965,UWPS,SKX,Saransk International Airport,54.12513,45.212257,EU,RU,RU-MO,Saransk,
30804,UWSB,BWO,Balakovo Airport,51.858299,47.745602,AS,RU,RU-SAR,Balakovo,
339001,UWSG,GSV,Gagarin International Airport,51.712778,46.171111,AS,RU,RU-SAR,Saratov,
26411,UWUU,UFA,Ufa International Airport,54.55749893,55.87440109,EU,RU,RU-BA,Ufa,
26412,UWWW,KUF,Kurumoch International Airport,53.504902,50.164299,EU,RU,RU-SAM,Samara,
